,Year,District,Crop,Season,Rainfall_mm,Avg_Temp_C,Area_Ha,y,y_pred1
2693,2006,boudh,moong(green-gram),autumn,299,28,367,0.14,0.11186382
2694,2007,boudh,moong(green-gram),autumn,300,29,520,0.14,0.13678302
2695,2008,boudh,moong(green-gram),autumn,313,27,516,0.14,0.12639129
2696,2009,boudh,moong(green-gram),autumn,280,28,561,0.18,0.11031717
2697,2010,boudh,moong(green-gram),autumn,284,26,715,0.17,0.080576465
2698,2011,boudh,moong(green-gram),autumn,285,28,748,0.15,0.08295842
2699,2012,boudh,moong(green-gram),autumn,295,28,399,0.16,0.1836649
2700,2013,boudh,moong(green-gram),autumn,297,29,446,0.19,0.22391228
2701,2014,boudh,moong(green-gram),autumn,298,26,370,0.19,0.18737231
2702,2015,boudh,moong(green-gram),autumn,299,24.5,211,0.18,0.12909067
2703,2016,boudh,moong(green-gram),autumn,298,25,715,0.33,0.25695974
2704,2017,boudh,moong(green-gram),autumn,299,23.9,343,0.38,0.24743634
2705,2018,boudh,moong(green-gram),autumn,236,25,99,0.2,0.2303731
2706,2019,boudh,moong(green-gram),autumn,418,28,184,0.22,0.29994544
2707,2020,boudh,moong(green-gram),autumn,350,25,132,0.22,0.28000394
2708,2021,boudh,moong(green-gram),autumn,333,26,117,0.21,0.26974165
2709,2022,boudh,moong(green-gram),autumn,150,27,144,0.2,0.22773579
2711,2004,boudh,moong(green-gram),summer,25,23,654,0.19,0.1554396
2712,2005,boudh,moong(green-gram),summer,24,27,1111,0.19,0.21347837
2713,2006,boudh,moong(green-gram),summer,21,28,1669,0.27,0.22808675
2714,2007,boudh,moong(green-gram),summer,23,26,1045,0.26,0.20631045
2715,2008,boudh,moong(green-gram),summer,26,28,1825,0.29,0.23805566
2716,2009,boudh,moong(green-gram),summer,25,28,674,0.21,0.22449082
2717,2010,boudh,moong(green-gram),summer,25.2,25,1351,0.26,0.18087834
2718,2011,boudh,moong(green-gram),summer,25.5,25,1110,0.14,0.17899472
2719,2012,boudh,moong(green-gram),summer,28.5,32,1224,0.19,0.30327186
2720,2013,boudh,moong(green-gram),summer,29.5,33,717,0.21,0.2937518
2721,2014,boudh,moong(green-gram),summer,25,34,438,0.2,0.320746
2722,2015,boudh,moong(green-gram),summer,26,35,729,0.18,0.25917035
2723,2016,boudh,moong(green-gram),summer,23,31,1609,0.3,0.3783121
2724,2017,boudh,moong(green-gram),summer,25,30,863,0.21,0.36603382
2725,2018,boudh,moong(green-gram),summer,22.5,32,193,0.31,0.36329088
2726,2019,boudh,moong(green-gram),summer,25,30,988,0.31,0.36538488
2727,2020,boudh,moong(green-gram),summer,26,29,1122,0.3,0.3559339
2728,2021,boudh,moong(green-gram),summer,29,31,1037,0.3,0.360314
2729,2022,boudh,moong(green-gram),summer,24,32.5,990,0.29,0.34347945
2731,2004,boudh,moong(green-gram),winter,18,23,1781,0.18,0.15472324
2732,2005,boudh,moong(green-gram),winter,19,20,1424,0.15,0.16643868
2733,2006,boudh,moong(green-gram),winter,20,20,1736,0.21,0.16739488
2734,2007,boudh,moong(green-gram),winter,17,23,1592,0.19,0.18922567
2735,2008,boudh,moong(green-gram),winter,16,21,1722,0.18,0.18459491
2736,2009,boudh,moong(green-gram),winter,18,22,1901,0.2,0.18475053
2737,2010,boudh,moong(green-gram),winter,19,23,2161,0.16,0.1714162
2738,2011,boudh,moong(green-gram),winter,20,23,1214,0.16,0.16402361
2739,2012,boudh,moong(green-gram),winter,21,20,2111,0.25,0.22191769
2740,2013,boudh,moong(green-gram),winter,22,21,1188,0.22,0.2405189
2741,2014,boudh,moong(green-gram),winter,18,23,1113,0.19,0.26375604
2742,2015,boudh,moong(green-gram),winter,18.5,23,380,0.19,0.22419696
2743,2016,boudh,moong(green-gram),winter,19,24,1666,0.28,0.3142698
2744,2017,boudh,moong(green-gram),winter,19.5,25,518,0.24,0.30348912
2745,2018,boudh,moong(green-gram),winter,19.58,26,422,0.23,0.29970285
2746,2019,boudh,moong(green-gram),winter,17.89,23,461,0.22,0.29406455
2747,2020,boudh,moong(green-gram),winter,18.98,20,696,0.24,0.25191307
2748,2021,boudh,moong(green-gram),winter,18.9,19,899,0.22,0.24731387
2749,2022,boudh,moong(green-gram),winter,20,18,648,0.24,0.25462487
2771,2004,boudh,rice,autumn,295,31,11000,0.91,0.85961646
2772,2005,boudh,rice,autumn,298,28,10000,0.9,0.9434503
2773,2006,boudh,rice,autumn,299,28,10000,1.2,0.9457087
2774,2007,boudh,rice,autumn,300,29,11000,1.09,0.9813693
2775,2008,boudh,rice,autumn,313,27,11000,1,0.9643074
2776,2009,boudh,rice,autumn,280,28,7000,1.14,0.9472665
2777,2010,boudh,rice,autumn,284,26,7000,0.71,0.9324935
2778,2011,boudh,rice,autumn,285,28,5000,0.6,0.92517036
2779,2012,boudh,rice,autumn,295,28,6000,1.33,1.2630728
2780,2013,boudh,rice,autumn,297,29,7000,1.14,1.3323921
2781,2014,boudh,rice,autumn,298,26,5000,1.4,1.3532685
2782,2015,boudh,rice,autumn,299,24.5,5000,0.6,1.0511677
2783,2016,boudh,rice,autumn,298,25,2780,2.11,1.6369464
2784,2017,boudh,rice,autumn,299,23.9,4100,1.03,1.260717
2785,2018,boudh,rice,autumn,236,25,2210,2.01,1.5968087
2786,2019,boudh,rice,autumn,418,28,1830,2.03,1.8781497
2787,2020,boudh,rice,autumn,350,25,2960,2.77,1.9146055
2788,2021,boudh,rice,autumn,333,26,2292,2.26,1.9059818
2789,2022,boudh,rice,autumn,150,27,3500,2.39,1.9618641
2791,2004,boudh,rice,summer,25,23,1000,1,1.610148
2792,2005,boudh,rice,summer,24,27,1000,2,1.8217114
2793,2006,boudh,rice,summer,21,28,1000,2,1.8249568
2794,2007,boudh,rice,summer,23,26,1000,2,1.8315669
2795,2008,boudh,rice,summer,26,28,2000,1.5,1.8267088
2797,2010,boudh,rice,summer,25.2,25,1000,1,1.7948104
2798,2011,boudh,rice,summer,25.5,25,1000,1,1.7969027
2799,2012,boudh,rice,summer,28.5,32,173000,0.02,0.23051421
2800,2013,boudh,rice,summer,29.5,33,2000,2,2.339934
2801,2014,boudh,rice,summer,25,34,1000,3,2.4295783
2802,2015,boudh,rice,summer,26,35,1000,2,2.2634706
2803,2016,boudh,rice,summer,23,31,1510,3.43,2.8176055
2804,2017,boudh,rice,summer,25,30,1040,3.52,2.6741285
2805,2018,boudh,rice,summer,22.5,32,1550,3.11,2.7572145
2806,2019,boudh,rice,summer,25,30,950,2.71,2.8558044
2807,2020,boudh,rice,summer,26,29,1690,3.17,3.0620341
2808,2021,boudh,rice,summer,29,31,3539,2.84,3.0514188
2809,2022,boudh,rice,summer,24,32.5,2230,2.79,2.941437
2811,2004,boudh,rice,winter,18,23,57000,1.51,1.5557547
2812,2005,boudh,rice,winter,19,20,57000,1.63,1.6397835
2813,2006,boudh,rice,winter,20,20,60000,1.63,1.6478506
2814,2007,boudh,rice,winter,17,23,53000,1.75,1.7386136
2815,2008,boudh,rice,winter,16,21,58000,1.34,1.6395011
2816,2009,boudh,rice,winter,18,22,57000,1.91,1.6829448
2817,2010,boudh,rice,winter,19,23,57000,1.26,1.6688838
2818,2011,boudh,rice,winter,20,23,59000,1.22,1.634811
2819,2012,boudh,rice,winter,21,20,62000,2.66,2.1709087
2820,2013,boudh,rice,winter,22,21,59000,1.86,2.0281894
2821,2014,boudh,rice,winter,18,23,53000,2.4,2.1439927
2822,2015,boudh,rice,winter,18.5,23,55000,0.95,1.834138
2823,2016,boudh,rice,winter,19,24,52340,3.14,2.6114814
2824,2017,boudh,rice,winter,19.5,25,53780,1.87,2.6298962
2825,2018,boudh,rice,winter,19.58,26,60360,2.84,2.6259718
2826,2019,boudh,rice,winter,17.89,23,60260,2.77,2.5241485
2827,2020,boudh,rice,winter,18.98,20,63290,3.57,2.9556053
2828,2021,boudh,rice,winter,18.9,19,65697,3.18,2.8599267
2829,2022,boudh,rice,winter,20,18,65020,3.41,2.9167988
2831,2004,deogarh,groundnut,autumn,300,31,399,0.79,0.8169234
2832,2005,deogarh,groundnut,autumn,302,28,337,0.86,0.8156679
2833,2006,deogarh,groundnut,autumn,310,28,362,0.98,0.8588776
2834,2007,deogarh,groundnut,autumn,322,29,184,0.87,0.83863026
2835,2008,deogarh,groundnut,autumn,289,27,105,0.93,0.8164508
2836,2009,deogarh,groundnut,autumn,290,30,28,0.84,0.87601554
2837,2010,deogarh,groundnut,autumn,292,31,193,0.76,0.84069467
2838,2011,deogarh,groundnut,autumn,278,28,118,0.99,0.8851631
2839,2012,deogarh,groundnut,autumn,289,28,98,1.29,1.1483341
2840,2013,deogarh,groundnut,autumn,298,29,22,1.89,1.6926787
2841,2014,deogarh,groundnut,autumn,265,27,65,1.73,1.6281534
2842,2015,deogarh,groundnut,autumn,330,30,19,2.55,1.7558106
2843,2016,deogarh,groundnut,autumn,310,31,125,1.31,1.4095323
2844,2017,deogarh,groundnut,autumn,300,32,57,1.33,1.7109684
2845,2018,deogarh,groundnut,autumn,302,28,91,1.96,1.3992921
2846,2019,deogarh,groundnut,autumn,302.5,28,66,2.51,2.1765637
2847,2020,deogarh,groundnut,autumn,303,28,77,2.49,2.2153757
2848,2021,deogarh,groundnut,autumn,304,29,833,2.59,1.846955
2849,2022,deogarh,groundnut,autumn,308,29,84,2.96,2.6195445
2851,2004,deogarh,groundnut,summer,27,34,249,0.92,0.98834234
2852,2005,deogarh,groundnut,summer,28,33,525,1.12,1.0461079
2853,2006,deogarh,groundnut,summer,29,23,732,0.92,0.9675438
2854,2007,deogarh,groundnut,summer,30,32,227,1.1,1.0584587
2855,2008,deogarh,groundnut,summer,31,33,215,0.96,1.0473732
2856,2009,deogaarh,groundnut,summer,25,34,210,0.9,1.1437008
2857,2010,deogaarh,groundnut,summer,26,30,93,0.94,1.1337488
2858,2011,deogaarh,groundnut,summer,22,32,11,1.25,1.179578
2859,2012,deogaarh,groundnut,summer,28,32,213,1.48,1.252803
2860,2013,deogaarh,groundnut,summer,29,31,64,1.67,1.4341935
2861,2014,deogaarh,groundnut,summer,20,30,17,1.49,1.3270773
2862,2015,deogaarh,groundnut,summer,30,29,8,1.56,1.2385027
2863,2016,deogaarh,groundnut,summer,24,28,181,1.7,1.5702734
2864,2017,deogaarh,groundnut,summer,21,33,59,1.58,1.5073235
2865,2018,deogaarh,groundnut,summer,20,28,283,2.39,1.6985321
2866,2019,deogaarh,groundnut,summer,20,29,77,2.8,2.1407168
2867,2020,deogaarh,groundnut,summer,20.5,30,372,3.06,2.1908734
2868,2021,deogaarh,groundnut,summer,20.36,33,95,3.13,2.0989764
2869,2022,deogaarh,groundnut,summer,25,31,54,3.06,2.4321983
3091,2004,deogarh,moong(green-gram),autumn,300,31,1167,0.2,0.21195884
3092,2005,deogarh,moong(green-gram),autumn,302,28,1456,0.2,0.19007687
3093,2006,deogarh,moong(green-gram),autumn,310,28,1946,0.23,0.23893607
3094,2007,deogarh,moong(green-gram),autumn,322,29,1201,0.18,0.24603784
3095,2008,deogarh,moong(green-gram),autumn,289,27,1185,0.22,0.20883636
3096,2009,deogarh,moong(green-gram),autumn,290,30,712,0.27,0.23956358
3097,2010,deogarh,moong(green-gram),autumn,292,31,916,0.26,0.23956358
3098,2011,deogarh,moong(green-gram),autumn,278,28,514,0.16,0.22920702
3099,2012,deogarh,moong(green-gram),autumn,289,28,450,0.23,0.35702947
3100,2013,deogarh,moong(green-gram),autumn,298,29,43,0.27,0.36629075
3102,2015,deogarh,moong(green-gram),autumn,330,30,24,0.34,0.38175642
3103,2016,deogarh,moong(green-gram),autumn,310,31,1567,0.44,0.439871
3104,2017,deogarh,moong(green-gram),autumn,300,32,1048,0.45,0.41438887
3105,2018,deogarh,moong(green-gram),autumn,302,28,58,0.32,0.39154452
3106,2019,deogarh,moong(green-gram),autumn,302.5,28,154,0.26,0.4340429
3108,2021,deogarh,moong(green-gram),autumn,304,29,2246,0.31,0.4135527
3109,2022,deogarh,moong(green-gram),autumn,308,29,87,0.3,0.667435
3111,2004,deogarh,moong(green-gram),summer,27,34,246,0.35,0.2638597
3112,2005,deogarh,moong(green-gram),summer,28,33,279,0.33,0.27444416
3113,2006,deogarh,moong(green-gram),summer,29,23,442,0.33,0.23234332
3114,2007,deogarh,moong(green-gram),summer,30,32,533,0.34,0.31714398
3115,2008,deogarh,moong(green-gram),summer,31,33,559,0.33,0.30642205
3116,2009,deogaarh,moong(green-gram),summer,25,34,354,0.33,0.3316756
3117,2010,deogaarh,moong(green-gram),summer,26,30,423,0.32,0.3417176
3118,2011,deogaarh,moong(green-gram),summer,22,32,108,0.25,0.34201294
3119,2012,deogaarh,moong(green-gram),summer,28,32,91,0.4,0.4270178
3120,2013,deogaarh,moong(green-gram),summer,29,31,110,0.33,0.457711
3121,2014,deogaarh,moong(green-gram),summer,20,30,382,0.4,0.45068216
3122,2015,deogaarh,moong(green-gram),summer,30,29,103,0.29,0.38026485
3123,2016,deogaarh,moong(green-gram),summer,24,28,177,0.43,0.428712
3124,2017,deogaarh,moong(green-gram),summer,21,33,141,0.46,0.44527298
3125,2018,deogaarh,moong(green-gram),summer,20,28,137,0.25,0.4162882
3126,2019,deogaarh,moong(green-gram),summer,20,29,189,0.31,0.43457314
3127,2020,deogaarh,moong(green-gram),summer,20.5,30,492,0.24,0.44136482
3128,2021,deogaarh,moong(green-gram),summer,20.36,33,54,0.32,0.42444417
3129,2022,deogaarh,moong(green-gram),summer,25,31,44,0.3,0.41253486
3131,2004,deogarh,moong(green-gram),winter,10,23,90,0.22,0.19903982
3132,2005,deogarh,moong(green-gram),winter,11,19,223,0.33,0.23253268
3133,2006,deogarh,moong(green-gram),winter,12,20,370,0.31,0.21565261
3134,2007,deogarh,moong(green-gram),winter,9,20,228,0.24,0.23303902
3135,2008,deogarh,moong(green-gram),winter,11,20.5,216,0.28,0.21465757
3136,2009,deogarh,moong(green-gram),winter,13,21,206,0.32,0.23031008
3137,2010,deogarh,moong(green-gram),winter,15,22,368,0.28,0.2445136
3138,2011,deogarh,moong(green-gram),winter,18,22,340,0.23,0.24509346
3139,2012,deogarh,moong(green-gram),winter,6,25,571,0.33,0.37675074
3140,2013,deogarh,moong(green-gram),winter,9,21,45,0.29,0.3680343
3141,2014,deogarh,moong(green-gram),winter,15,19,52,0.26,0.31262162
3142,2015,deogarh,moong(green-gram),winter,10,18,13,0.25,0.23485932
3143,2016,deogarh,moong(green-gram),winter,10,18,46,0.38,0.3234446
3144,2017,deogarh,moong(green-gram),winter,11,20,208,0.43,0.33100173
3145,2018,deogarh,moong(green-gram),winter,13,20,65,0.28,0.31904945
3148,2021,deogarh,moong(green-gram),winter,15,19.8,293,0.29,0.32226285
3149,2022,deogarh,moong(green-gram),winter,16,21,84,0.3,0.35427788
3171,2004,deogarh,rice,autumn,300,31,23000,0.61,0.75722146
3172,2005,deogarh,rice,autumn,302,28,23000,0.91,0.9719974
3173,2006,deogarh,rice,autumn,310,28,20000,0.9,0.9849886
3174,2007,deogarh,rice,autumn,322,29,16000,1,1.0040417
3175,2008,deogarh,rice,autumn,289,27,18000,1,1.0028908
3176,2009,deogarh,rice,autumn,290,30,16000,0.81,0.9688399
3177,2010,deogarh,rice,autumn,292,31,19000,0.53,0.9655144
3178,2011,deogarh,rice,autumn,278,28,14000,1.07,1.0016167
3179,2012,deogarh,rice,autumn,289,28,17000,2.06,1.4637967
3180,2013,deogarh,rice,autumn,298,29,16000,1.75,1.5473365
3181,2014,deogarh,rice,autumn,265,27,20000,2.35,1.628667
3182,2015,deogarh,rice,autumn,330,30,14000,1.21,1.3856249
3183,2016,deogarh,rice,autumn,310,31,19780,1.28,1.5851413
3184,2017,deogarh,rice,autumn,300,32,21960,1.62,1.5298253
3185,2018,deogarh,rice,autumn,302,28,14790,1.46,1.5411569
3186,2019,deogarh,rice,autumn,302.5,28,11700,1.43,1.9220871
3187,2020,deogarh,rice,autumn,303,28,11160,2.14,1.9898832
3188,2021,deogarh,rice,autumn,304,29,20125,1.71,1.9351847
3189,2022,deogarh,rice,autumn,308,29,8870,1.71,2.4819546
3191,2004,deogarh,rice,summer,27,34,1000,1,1.4449925
3192,2005,deogarh,rice,summer,28,33,3000,1.33,1.6760384
3193,2006,deogarh,rice,summer,29,23,3000,1.67,1.6531869
3194,2007,deogarh,rice,summer,30,32,2000,2,1.8165139
3199,2012,deogaarh,rice,summer,28,32,111000,0.06,0.97128105
3200,2013,deogaarh,rice,summer,29,31,2000,2.5,2.479916
3203,2016,deogaarh,rice,summer,24,28,10,1,2.3639815
3207,2020,deogaarh,rice,summer,20.5,30,330,2.91,2.9644892
3208,2021,deogaarh,rice,summer,20.36,33,10,2.01,2.373771
3209,2022,deogaarh,rice,summer,25,31,10,2,2.322672
3211,2004,deogarh,rice,winter,10,23,27000,0.96,1.3597894
3212,2005,deogarh,rice,winter,11,19,28000,1.54,1.5206047
3213,2006,deogarh,rice,winter,12,20,30000,1.47,1.5225244
3214,2007,deogarh,rice,winter,9,20,26000,1.5,1.6101593
3215,2008,deogarh,rice,winter,11,20.5,27000,1.41,1.553076
3216,2009,deogarh,rice,winter,13,21,27000,1.26,1.5842359
3217,2010,deogarh,rice,winter,15,22,23000,0.87,1.5891417
3218,2011,deogarh,rice,winter,18,22,24000,1.92,1.5936068
3219,2012,deogarh,rice,winter,6,25,26000,2.92,1.8744743
3220,2013,deogarh,rice,winter,9,21,34000,2.71,2.2874584
3221,2014,deogarh,rice,winter,15,19,29000,3.48,1.9676409
3222,2015,deogarh,rice,winter,10,18,33000,0.91,1.5344051
3223,2016,deogarh,rice,winter,10,18,21970,1.8,1.8505546
3224,2017,deogarh,rice,winter,11,20,24850,2.02,1.8622745
3225,2018,deogarh,rice,winter,13,20,40780,1.79,1.9410139
3226,2019,deogarh,rice,winter,12,20.8,37230,1.95,2.373201
3227,2020,deogarh,rice,winter,14,18,35710,2.44,2.4281855
3228,2021,deogarh,rice,winter,15,19.8,23304,1.98,2.2997286
3229,2022,deogarh,rice,winter,16,21,31270,2.84,2.738658
3231,2004,dhenkanal,groundnut,autumn,245,31,1662,0.6,0.7984906
3232,2005,dhenkanal,groundnut,autumn,240,29,1507,0.69,0.83723813
3233,2006,dhenkanal,groundnut,autumn,242,29,1154,0.72,0.83949655
3234,2007,dhenkanal,groundnut,autumn,241,28,1197,0.68,0.8310818
3235,2008,dhenkanal,groundnut,autumn,253,29,1250,0.76,0.8482151
3236,2009,dhenkanal,groundnut,autumn,262,29,814,0.7,0.91280115
3237,2010,dhenkanal,groundnut,autumn,253,28,645,0.8,0.8495341
3238,2011,dhenkanal,groundnut,autumn,252,28,725,0.76,0.8533011
3239,2012,dhenkanal,groundnut,autumn,255,27,597,0.99,1.0237832
3240,2013,dhenkanal,groundnut,autumn,259,28,276,1.29,1.0911629
3241,2014,dhenkanal,groundnut,autumn,289,29,121,1.16,1.1056073
3242,2015,dhenkanal,groundnut,autumn,220,29.5,323,0.85,1.012861
3243,2016,dhenkanal,groundnut,autumn,230,28.5,143,1.08,1.1549186
3244,2017,dhenkanal,groundnut,autumn,231,28,188,0.9,1.1561306
3245,2018,dhenkanal,groundnut,autumn,236,28,19,0.71,1.075068
3246,2019,dhenkanal,groundnut,autumn,225,28,25,1.31,1.3855693
3247,2020,dhenkanal,groundnut,autumn,289,29,170,1.48,1.6065356
3248,2021,dhenkanal,groundnut,autumn,290,27,73,1.42,1.5317993
3249,2022,dhenkanal,groundnut,autumn,256,30,76,1.93,1.7708833
3251,2004,dhenkanal,groundnut,summer,40,25,4776,1.32,1.3998574
3252,2005,dhenkanal,groundnut,summer,41,29,4285,1.57,1.4207563
3253,2006,dhenkanal,groundnut,summer,40,32,1556,1.31,1.4365779
3254,2007,dhenkanal,groundnut,summer,42,32,4409,1.46,1.4462705
3255,2008,dhenkanal,groundnut,summer,43,33,3191,1.35,1.4307802
3256,2009,dhenkanal,groundnut,summer,44,34,3311,1.43,1.4441
3257,2010,dhenkanal,groundnut,summer,45,31,3966,1.66,1.4772019
3258,2011,dhenkanal,groundnut,summer,46,30,1778,1.75,1.5465387
3259,2012,dhenkanal,groundnut,summer,45,29,3983,1.51,1.5257661
3260,2013,dhenkanal,groundnut,summer,45,28,1470,2.38,1.7464354
3261,2014,dhenkanal,groundnut,summer,42,33,1644,2.02,1.7333612
3262,2015,dhenkanal,groundnut,summer,40.5,32,2597,1.32,1.6460774
3263,2016,dhenkanal,groundnut,summer,45,31,252,1.92,1.7465367
3264,2017,dhenkanal,groundnut,summer,42,30,1313,1.74,1.7363639
3265,2018,dhenkanal,groundnut,summer,48,28,534,1.54,1.587682
3266,2019,dhenkanal,groundnut,summer,45,29,876,2.06,2.0632086
3267,2020,dhenkanal,groundnut,summer,42,29,88,1.95,2.0826273
3268,2021,dhenkanal,groundnut,summer,46,32,241,2.01,2.0691626
3269,2022,dhenkanal,groundnut,summer,42,32,141,2.11,1.921639
3271,2004,dhenkanal,groundnut,winter,15,25,413,1.98,1.4526517
3272,2005,dhenkanal,groundnut,winter,16,22,126,1.09,1.2538434
3273,2006,dhenkanal,groundnut,winter,18,25,1192,1.56,1.4575089
3274,2007,dhenkanal,groundnut,winter,18,25,19,1.38,1.3446441
3275,2008,dhenkanal,groundnut,winter,19,22,1,1.1,1.2001321
3276,2009,dhenkanal,groundnut,winter,17,21,268,1.38,1.3422431
3278,2011,dhenkanal,groundnut,winter,19,24,50,0.96,1.4459711
3279,2012,dhenkanal,groundnut,winter,20,23,48,2.05,1.5168788
3280,2013,dhenkanal,groundnut,winter,21,25,52,1.89,1.6474981
3281,2014,dhenkanal,groundnut,winter,18,24,9,1.92,1.632068
3282,2015,dhenkanal,groundnut,winter,19,22,16,1.89,1.5901896
3283,2016,dhenkanal,groundnut,winter,15,21,519,1.79,1.6957101
3284,2017,dhenkanal,groundnut,winter,16,19,63,2.21,1.7861062
3285,2018,dhenkanal,groundnut,winter,18,18,42,1.68,1.6535836
3287,2020,dhenkanal,groundnut,winter,20,20,361,2.34,2.1330945
3288,2021,dhenkanal,groundnut,winter,21,25,892,2.22,2.0872746
3289,2022,dhenkanal,groundnut,winter,22,24,2292,2.05,2.1578655
3571,2004,dhenkanal,moong(green-gram),autumn,245,31,87,0.13,0.19049859
3572,2005,dhenkanal,moong(green-gram),autumn,240,29,277,0.08,0.1619848
3573,2006,dhenkanal,moong(green-gram),autumn,242,29,169,0.14,0.16116327
3574,2007,dhenkanal,moong(green-gram),autumn,241,28,141,0.09,0.1367432
3575,2008,dhenkanal,moong(green-gram),autumn,253,29,144,0.14,0.16647267
3576,2009,dhenkanal,moong(green-gram),autumn,262,29,93,0.06,0.18060195
3577,2010,dhenkanal,moong(green-gram),autumn,253,28,58,0.16,0.15559348
3578,2011,dhenkanal,moong(green-gram),autumn,252,28,39,0.17,0.15958859
3579,2012,dhenkanal,moong(green-gram),autumn,255,27,20,0.12,0.24949926
3580,2013,dhenkanal,moong(green-gram),autumn,259,28,15,0.15,0.28742838
3581,2014,dhenkanal,moong(green-gram),autumn,289,29,28,0.3,0.33367908
3583,2016,dhenkanal,moong(green-gram),autumn,230,28.5,92,0.47,0.3560581
3585,2018,dhenkanal,moong(green-gram),autumn,236,28,1,0.3,0.342148
3587,2020,dhenkanal,moong(green-gram),autumn,289,29,28,0.56,0.374391
3589,2022,dhenkanal,moong(green-gram),autumn,256,30,84,0.31,0.35475135
3591,2004,dhenkanal,moong(green-gram),summer,40,25,1186,0.32,0.3241889
3592,2005,dhenkanal,moong(green-gram),summer,41,29,1829,0.36,0.36466014
3593,2006,dhenkanal,moong(green-gram),summer,40,32,878,0.27,0.36916918
3594,2007,dhenkanal,moong(green-gram),summer,42,32,2138,0.38,0.3749776
3595,2008,dhenkanal,moong(green-gram),summer,43,33,1001,0.37,0.36609018
3596,2009,dhenkanal,moong(green-gram),summer,44,34,1310,0.37,0.36055294
3597,2010,dhenkanal,moong(green-gram),summer,45,31,1924,0.29,0.37042284
3598,2011,dhenkanal,moong(green-gram),summer,46,30,776,0.34,0.3746505
3599,2012,dhenkanal,moong(green-gram),summer,45,29,1163,0.4,0.42656255
3600,2013,dhenkanal,moong(green-gram),summer,45,28,1218,0.46,0.42406946
3601,2014,dhenkanal,moong(green-gram),summer,42,33,2252,0.47,0.43524492
3602,2015,dhenkanal,moong(green-gram),summer,40.5,32,1419,0.48,0.3965057
3603,2016,dhenkanal,moong(green-gram),summer,45,31,1491,0.45,0.45815423
3604,2017,dhenkanal,moong(green-gram),summer,42,30,2962,0.4,0.44883588
3605,2018,dhenkanal,moong(green-gram),summer,48,28,764,0.38,0.42738372
3606,2019,dhenkanal,moong(green-gram),summer,45,29,1723,0.44,0.43932495
3607,2020,dhenkanal,moong(green-gram),summer,42,29,1345,0.38,0.43615556
3608,2021,dhenkanal,moong(green-gram),summer,46,32,1844,0.42,0.4489529
3609,2022,dhenkanal,moong(green-gram),summer,42,32,1400,0.4,0.41866392
3611,2004,dhenkanal,moong(green-gram),winter,15,25,403,0.25,0.29196864
3612,2005,dhenkanal,moong(green-gram),winter,16,22,1118,0.27,0.2846969
3613,2006,dhenkanal,moong(green-gram),winter,18,25,457,0.22,0.2936711
3614,2007,dhenkanal,moong(green-gram),winter,18,25,728,0.27,0.30289727
3615,2008,dhenkanal,moong(green-gram),winter,19,22,490,0.31,0.29824373
3616,2009,dhenkanal,moong(green-gram),winter,17,21,759,0.35,0.29126662
3617,2010,dhenkanal,moong(green-gram),winter,18,25,770,0.32,0.3074866
3618,2011,dhenkanal,moong(green-gram),winter,19,24,351,0.28,0.307707
3619,2012,dhenkanal,moong(green-gram),winter,20,23,601,0.39,0.42463768
3620,2013,dhenkanal,moong(green-gram),winter,21,25,513,0.37,0.418015
3621,2014,dhenkanal,moong(green-gram),winter,18,24,592,0.36,0.41835546
3622,2015,dhenkanal,moong(green-gram),winter,19,22,235,0.36,0.3755713
3623,2016,dhenkanal,moong(green-gram),winter,15,21,751,0.49,0.43690726
3624,2017,dhenkanal,moong(green-gram),winter,16,19,449,0.41,0.43421784
3625,2018,dhenkanal,moong(green-gram),winter,18,18,297,0.49,0.43216717
3626,2019,dhenkanal,moong(green-gram),winter,19,22,429,0.43,0.43408346
3627,2020,dhenkanal,moong(green-gram),winter,20,20,655,0.46,0.4305334
3628,2021,dhenkanal,moong(green-gram),winter,21,25,308,0.44,0.43431437
3629,2022,dhenkanal,moong(green-gram),winter,22,24,443,0.44,0.4548782
3651,2004,dhenkanal,rice,autumn,245,31,16000,0.63,0.8205757
3652,2005,dhenkanal,rice,autumn,240,29,15000,1,0.9209357
3653,2006,dhenkanal,rice,autumn,242,29,12000,1,0.9231941
3654,2007,dhenkanal,rice,autumn,241,28,14000,1,0.9401945
3655,2008,dhenkanal,rice,autumn,253,29,9000,1.11,0.94271106
3656,2009,dhenkanal,rice,autumn,262,29,10000,1,0.99165875
3657,2010,dhenkanal,rice,autumn,253,28,9000,0.56,0.9338454
3658,2011,dhenkanal,rice,autumn,252,28,4000,1.25,1.0159049
3659,2012,dhenkanal,rice,autumn,255,27,4000,1.5,1.3755031
3660,2013,dhenkanal,rice,autumn,259,28,4000,1.5,1.4599193
3661,2014,dhenkanal,rice,autumn,289,29,6000,2,1.4126068
3662,2015,dhenkanal,rice,autumn,220,29.5,5000,1.2,1.1936929
3663,2016,dhenkanal,rice,autumn,230,28.5,1090,1.58,1.5782958
3664,2017,dhenkanal,rice,autumn,231,28,1450,1.11,1.5274525
3665,2018,dhenkanal,rice,autumn,236,28,460,1.35,1.5424813
3666,2019,dhenkanal,rice,autumn,225,28,570,2.07,1.7634509
3667,2020,dhenkanal,rice,autumn,289,29,200,1.7,1.822304
3668,2021,dhenkanal,rice,autumn,290,27,481,1.26,1.7604944
