Year,District,Crop,Season,Rainfall_mm,Avg_Temp_C,Area_Ha,Yield_t_ha
2003,baleshwar,jute,autumn,279,28,379,6.26
2004,baleshwar,jute,autumn,280,29,226,7.06
2005,baleshwar,jute,autumn,281,29,302,6.96
2006,baleshwar,jute,autumn,283,29,578,6.01
2007,baleshwar,jute,autumn,284,30,1260,4.82
2008,baleshwar,jute,autumn,282,30,10,4.8
2009,baleshwar,jute,autumn,283,31,106,6.1
2010,baleshwar,jute,autumn,284,30,227,6.45
2011,baleshwar,jute,autumn,285,29,175,6.83
2012,baleshwar,jute,autumn,280,28,76,0.95
2013,baleshwar,jute,autumn,220,28,323,1
2014,baleshwar,jute,autumn,290,29,193,1.96
2015,baleshwar,jute,autumn,286,29,186,1.62
2016,baleshwar,jute,autumn,286,29,153,1.66
2017,baleshwar,jute,autumn,285,28,67,1.46
2018,baleshwar,jute,autumn,284,29,58,1.41
2019,baleshwar,jute,autumn,281,28,16,1.78
2020,baleshwar,jute,autumn,280,30,41,6.75
2021,baleshwar,jute,autumn,280.5,30,612,10.21
2022,baleshwar,jute,autumn,280.65,29,733,0.14
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,groundnut,autumn,270,30,16193,0.87
2005,bargarh,groundnut,autumn,259,28,17956,0.89
2006,bargarh,groundnut,autumn,260,28,17311,0.89
2007,bargarh,groundnut,autumn,259,29,16607,1.05
2008,bargarh,groundnut,autumn,260,30,18056,1.04
2009,bargarh,groundnut,autumn,243,29,15882,1
2010,bargarh,groundnut,autumn,242,28,15932,0.98
2011,bargarh,groundnut,autumn,240,29,13706,0.89
2012,bargarh,groundnut,autumn,241,29,11581,1.05
2013,bargarh,groundnut,autumn,250,30,13134,1.11
2014,bargarh,groundnut,autumn,252,31,9595,0.86
2015,bargarh,groundnut,autumn,250,28,8176,0.7
2016,bargarh,groundnut,autumn,254,29,9870,0.87
2017,bargarh,groundnut,autumn,258,28,9445,0.8
2018,bargarh,groundnut,autumn,259,27,6452,0.81
2019,bargarh,groundnut,autumn,257,28,5023,1
2020,bargarh,groundnut,autumn,257,28,2893,1.27
2021,bargarh,groundnut,autumn,258,29,5257,1.73
2022,bargarh,groundnut,autumn,250,30,3528,1.94
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,groundnut,summer,18,30,2616,1.38
2005,bargarh,groundnut,summer,20,28,2813,1.38
2006,bargarh,groundnut,summer,20,29,1582,1.31
2007,bargarh,groundnut,summer,25,33,3064,1.39
2008,bargarh,groundnut,summer,24,34,1634,1.37
2009,bargarh,groundnut,summer,26,35,1777,1.29
2010,bargarh,groundnut,summer,21,32,1044,1.41
2011,bargarh,groundnut,summer,21,32,893,1.32
2012,bargarh,groundnut,summer,21,33,2095,1.46
2013,bargarh,groundnut,summer,20,32,1512,1.47
2014,bargarh,groundnut,summer,20,30,580,1.34
2015,bargarh,groundnut,summer,23,31,1194,1.26
2016,bargarh,groundnut,summer,23,31.5,758,1.42
2017,bargarh,groundnut,summer,19,32,820,1.54
2018,bargarh,groundnut,summer,20,32,342,1.24
2019,bargarh,groundnut,summer,20.5,32,495,1.34
2020,bargarh,groundnut,summer,20.4,35,571,2.37
2021,bargarh,groundnut,summer,20.9,34,1125,2.12
2022,bargarh,groundnut,summer,20.7,29,1080,2.59
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,horse-gram,winter,15,21,1303,0.31
2005,bargarh,horse-gram,winter,15.5,22,1049,0.36
2006,bargarh,horse-gram,winter,18,20,1094,0.31
2007,bargarh,horse-gram,winter,10,20,1120,0.28
2008,bargarh,horse-gram,winter,10,23,1057,0.31
2009,bargarh,horse-gram,winter,10.2,21,1519,0.35
2010,bargarh,horse-gram,winter,104,23,1348,0.36
2011,bargarh,horse-gram,winter,9,23,876,0.3
2012,bargarh,horse-gram,winter,10,21,1232,0.33
2013,bargarh,horse-gram,winter,11,21,1019,0.32
2014,bargarh,horse-gram,winter,12,25,770,0.28
2015,bargarh,horse-gram,winter,12,23,547,0.28
2016,bargarh,horse-gram,winter,12.5,23,331,0.32
2017,bargarh,horse-gram,winter,14,20,185,0.34
2018,bargarh,horse-gram,winter,16,20.9,350,0.34
2019,bargarh,horse-gram,winter,15,20,300,0.27
2020,bargarh,horse-gram,winter,12,21,355,0.31
2021,bargarh,horse-gram,winter,12,21,274,0.27
2022,bargarh,horse-gram,winter,10,22,357,0.35
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,maize,autumn,270,30,75,1.65
2005,bargarh,maize,autumn,259,28,74,1.28
2006,bargarh,maize,autumn,260,28,51,1.12
2007,bargarh,maize,autumn,259,29,50,1.13
2008,bargarh,maize,autumn,260,30,112,1.3
2009,bargarh,maize,autumn,243,29,127,1.14
2010,bargarh,maize,autumn,242,28,137,1.29
2011,bargarh,maize,autumn,240,29,105,1.31
2012,bargarh,maize,autumn,241,29,111,1.4
2013,bargarh,maize,autumn,250,30,100,1.71
2014,bargarh,maize,autumn,252,31,117,1.15
2015,bargarh,maize,autumn,250,28,258,1.39
2016,bargarh,maize,autumn,254,29,429,1.38
2017,bargarh,maize,autumn,258,28,203,1.41
2018,bargarh,maize,autumn,259,27,71,1.4
2019,bargarh,maize,autumn,257,28,86,1.94
2020,bargarh,maize,autumn,257,28,57,1.86
2021,bargarh,maize,autumn,258,29,83,1.75
2022,bargarh,maize,autumn,250,30,71,1.81
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,maize,summer,18,30,1,1.5
,,,,,,,
2006,bargarh,maize,summer,20,29,1,1.8
2007,bargarh,maize,summer,25,33,1,1.2
2008,bargarh,maize,summer,24,34,4,1.93
2009,bargarh,maize,summer,26,35,4,1.88
2010,bargarh,maize,summer,21,32,15,1.97
2011,bargarh,maize,summer,21,32,17,1.29
2012,bargarh,maize,summer,21,33,13,1.87
2013,bargarh,maize,summer,20,32,9,1.96
2014,bargarh,maize,summer,20,30,13,2.32
2015,bargarh,maize,summer,23,31,12,2.25
2016,bargarh,maize,summer,23,31.5,5,0.44
2017,bargarh,maize,summer,19,32,2,1.95
2018,bargarh,maize,summer,20,32,5,2.06
2019,bargarh,maize,summer,20.5,32,1,1.4
2020,bargarh,maize,summer,20.4,35,2,2.15
2021,bargarh,maize,summer,20.9,34,13,1.52
2022,bargarh,maize,summer,20.7,29,14,2
,,,,,,,
1999,bargarh,potato,winter,10.5,23,300,10.33
2000,bargarh,potato,winter,11,20,296,8.53
2001,bargarh,potato,winter,12,20,364,10.1
2002,bargarh,potato,winter,13,23,300,8.14
2003,bargarh,potato,winter,14,21,469,9.26
2004,bargarh,potato,winter,15,21,314,7.9
2005,bargarh,potato,winter,15.5,22,316,8.12
2006,bargarh,potato,winter,18,20,434,7.84
2007,bargarh,potato,winter,10,20,318,7.82
2008,bargarh,potato,winter,10,23,270,7.91
2009,bargarh,potato,winter,10.2,21,292,8.54
2010,bargarh,potato,winter,104,23,265,10.11
2011,bargarh,potato,winter,9,23,313,8.57
2012,bargarh,potato,winter,10,21,291,9.93
2013,bargarh,potato,winter,11,21,808,8.8
2014,bargarh,potato,winter,12,25,398,10.11
2015,bargarh,potato,winter,12,23,228,9.75
2016,bargarh,potato,winter,12.5,23,224,9.11
2017,bargarh,potato,winter,14,20,173,9.51
2018,bargarh,potato,winter,16,20.9,270,10.76
2019,bargarh,potato,winter,15,20,198,9.38
2020,bargarh,potato,winter,12,21,323,8.15
2021,bargarh,potato,winter,12,21,696,8.12
2022,bargarh,potato,winter,10,22,1245,8.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,sesamum,autumn,270,30,264,0.56
2005,bargarh,sesamum,autumn,259,28,277,0.17
2006,bargarh,sesamum,autumn,260,28,2,0.35
2007,bargarh,sesamum,autumn,259,29,8,0.21
2008,bargarh,sesamum,autumn,260,30,45,0.23
2009,bargarh,sesamum,autumn,243,29,23,0.22
2010,bargarh,sesamum,autumn,242,28,3,0.23
2011,bargarh,sesamum,autumn,240,29,4,0.33
2012,bargarh,sesamum,autumn,241,29,8,0.25
2013,bargarh,sesamum,autumn,250,30,10,0.34
2014,bargarh,sesamum,autumn,252,31,1,0.2
,,,,,,,
2016,bargarh,sesamum,autumn,254,29,3,0.17
2017,bargarh,sesamum,autumn,258,28,40,0.34
2018,bargarh,sesamum,autumn,259,27,3,0.3
,,,,,,,
,,,,,,,
2021,bargarh,sesamum,autumn,258,29,30,0.21
2022,bargarh,sesamum,autumn,250,30,122,0.16
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,sesamum,summer,18,30,110,0.36
2005,bargarh,sesamum,summer,20,28,145,0.32
2006,bargarh,sesamum,summer,20,29,109,0.32
2007,bargarh,sesamum,summer,25,33,168,0.42
2008,bargarh,sesamum,summer,24,34,95,0.33
2009,bargarh,sesamum,summer,26,35,95,0.36
2010,bargarh,sesamum,summer,21,32,94,0.35
2011,bargarh,sesamum,summer,21,32,93,0.35
2012,bargarh,sesamum,summer,21,33,64,0.4
2013,bargarh,sesamum,summer,20,32,94,0.39
2014,bargarh,sesamum,summer,20,30,43,0.43
2015,bargarh,sesamum,summer,23,31,87,0.39
2016,bargarh,sesamum,summer,23,31.5,1,0.5
2017,bargarh,sesamum,summer,19,32,7,0.36
2018,bargarh,sesamum,summer,20,32,16,0.38
2019,bargarh,sesamum,summer,20.5,32,37,0.34
2020,bargarh,sesamum,summer,20.4,35,5,0.32
2021,bargarh,sesamum,summer,20.9,34,34,0.24
2022,bargarh,sesamum,summer,20.7,29,49,0.28
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,sesamum,winter,15,21,1008,0.16
2005,bargarh,sesamum,winter,15.5,22,712,0.16
2006,bargarh,sesamum,winter,18,20,617,0.17
2007,bargarh,sesamum,winter,10,20,799,0.18
2008,bargarh,sesamum,winter,10,23,1082,0.17
2009,bargarh,sesamum,winter,10.2,21,1357,0.19
2010,bargarh,sesamum,winter,104,23,1238,0.22
2011,bargarh,sesamum,winter,9,23,963,0.16
2012,bargarh,sesamum,winter,10,21,828,0.23
2013,bargarh,sesamum,winter,11,21,1098,0.2
2014,bargarh,sesamum,winter,12,25,523,0.17
2015,bargarh,sesamum,winter,12,23,518,0.13
2016,bargarh,sesamum,winter,12.5,23,265,0.25
2017,bargarh,sesamum,winter,14,20,230,0.23
2018,bargarh,sesamum,winter,16,20.9,254,0.21
2019,bargarh,sesamum,winter,15,20,152,0.27
2020,bargarh,sesamum,winter,12,21,83,0.23
2021,bargarh,sesamum,winter,12,21,353,0.22
2022,bargarh,sesamum,winter,10,22,168,0.31
,,,,,,,
1999,bargarh,sugarcane,winter,10.5,23,860,70.7
2000,bargarh,sugarcane,winter,11,20,1035,66.62
2001,bargarh,sugarcane,winter,12,20,1169,70.87
2002,bargarh,sugarcane,winter,13,23,1794,61.12
2003,bargarh,sugarcane,winter,14,21,1319,74.66
2004,bargarh,sugarcane,winter,15,21,1318,72.89
2005,bargarh,sugarcane,winter,15.5,22,500,67.66
2006,bargarh,sugarcane,winter,18,20,934,68.73
2007,bargarh,sugarcane,winter,10,20,742,64.13
2008,bargarh,sugarcane,winter,10,23,415,66.51
2009,bargarh,sugarcane,winter,10.2,21,196,69.59
2010,bargarh,sugarcane,winter,104,23,494,69.61
2011,bargarh,sugarcane,winter,9,23,854,74.8
2012,bargarh,sugarcane,winter,10,21,763,81.85
2013,bargarh,sugarcane,winter,11,21,708,78.63
2014,bargarh,sugarcane,winter,12,25,431,84.17
2015,bargarh,sugarcane,winter,12,23,282,78.83
2016,bargarh,sugarcane,winter,12.5,23,142,91.24
2017,bargarh,sugarcane,winter,14,20,39,85.2
2018,bargarh,sugarcane,winter,16,20.9,4,80.93
2019,bargarh,sugarcane,winter,15,20,39,68.7
2020,bargarh,sugarcane,winter,12,21,4,90
2021,bargarh,sugarcane,winter,12,21,19,84.4
2022,bargarh,sugarcane,winter,10,22,43,91.68
,,,,,,,
1999,bargarh,urad,autumn,245,31,12730,0.49
2000,bargarh,urad,autumn,256,28,6295,0.24
2001,bargarh,urad,autumn,253,28,7021,0.21
2002,bargarh,urad,autumn,251,29,5890,0.26
2003,bargarh,urad,autumn,260,27,7088,0.25
2004,bargarh,urad,autumn,270,30,6952,0.3
2005,bargarh,urad,autumn,259,28,6896,0.27
2006,bargarh,urad,autumn,260,28,6572,0.26
2007,bargarh,urad,autumn,259,29,8144,0.3
2008,bargarh,urad,autumn,260,30,7752,0.29
2009,bargarh,urad,autumn,243,29,7490,0.27
2010,bargarh,urad,autumn,242,28,9136,0.3
2011,bargarh,urad,autumn,240,29,7826,0.26
2012,bargarh,urad,autumn,241,29,7034,0.3
2013,bargarh,urad,autumn,250,30,9556,0.34
2014,bargarh,urad,autumn,252,31,8125,0.22
2015,bargarh,urad,autumn,250,28,6595,0.27
2016,bargarh,urad,autumn,254,29,8868,0.45
2017,bargarh,urad,autumn,258,28,8888,0.3
2018,bargarh,urad,autumn,259,27,4165,0.27
2019,bargarh,urad,autumn,257,28,2168,0.33
2020,bargarh,urad,autumn,257,28,1846,0.31
2021,bargarh,urad,autumn,258,29,4512,0.31
2022,bargarh,urad,autumn,250,30,2136,0.34
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2005,bargarh,urad,summer,20,28,1,0.4
2006,bargarh,urad,summer,20,29,6,0.25
2007,bargarh,urad,summer,25,33,9,0.29
2008,bargarh,urad,summer,24,34,10,0.32
2009,bargarh,urad,summer,26,35,15,0.33
2010,bargarh,urad,summer,21,32,8,0.26
2011,bargarh,urad,summer,21,32,19,0.36
2012,bargarh,urad,summer,21,33,31,0.36
2013,bargarh,urad,summer,20,32,23,0.4
2014,bargarh,urad,summer,20,30,21,0.43
2015,bargarh,urad,summer,23,31,39,0.42
2016,bargarh,urad,summer,23,31.5,27,0.6
2017,bargarh,urad,summer,19,32,46,0.38
2018,bargarh,urad,summer,20,32,20,0.36
2019,bargarh,urad,summer,20.5,32,118,0.29
2020,bargarh,urad,summer,20.4,35,2,0.4
2021,bargarh,urad,summer,20.9,34,54,0.29
2022,bargarh,urad,summer,20.7,29,36,0.35
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2005,bargarh,urad,winter,15.5,22,1,0.4
2006,bargarh,urad,winter,18,20,1,0.4
2007,bargarh,urad,winter,10,20,9,0.36
2008,bargarh,urad,winter,10,23,1,0.1
2009,bargarh,urad,winter,10.2,21,1,0.2
2010,bargarh,urad,winter,104,23,4,0.23
,,,,,,,
,,,,,,,
2013,bargarh,urad,winter,11,21,13,0.36
2014,bargarh,urad,winter,12,25,18,0.27
2015,bargarh,urad,winter,12,23,2,0.4
,,,,,,,
2017,bargarh,urad,winter,14,20,67,0.34
,,,,,,,
2019,bargarh,urad,winter,15,20,2,0.25
2020,bargarh,urad,winter,12,21,13,0.41
2021,bargarh,urad,winter,12,21,26,0.42
2022,bargarh,urad,winter,10,22,4,0.53
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,wheat,summer,18,30,198,1.41
2005,bargarh,wheat,summer,20,28,262,1.34
2006,bargarh,wheat,summer,20,29,227,1.39
2007,bargarh,wheat,summer,25,33,446,1.43
2008,bargarh,wheat,summer,24,34,258,1.4
2009,bargarh,wheat,summer,26,35,214,1.47
2010,bargarh,wheat,summer,21,32,114,1.69
2011,bargarh,wheat,summer,21,32,76,1.61
2012,bargarh,wheat,summer,21,33,15,1.57
2013,bargarh,wheat,summer,20,32,4,1.3
2014,bargarh,wheat,summer,20,30,4,1.2
2015,bargarh,wheat,summer,23,31,9,2.12
2016,bargarh,wheat,summer,23,31.5,5,0.66
2017,bargarh,wheat,summer,19,32,9,2.41
2018,bargarh,wheat,summer,20,32,11,1.05
2019,bargarh,wheat,summer,20.5,32,47,1.4
2020,bargarh,wheat,summer,20.4,35,52,1.88
2021,bargarh,wheat,summer,20.9,34,29,1.3
2022,bargarh,wheat,summer,20.7,29,82,1.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,moong(green-gram),autumn,270,30,10677,0.28
2005,bargarh,moong(green-gram),autumn,259,28,10761,0.27
2006,bargarh,moong(green-gram),autumn,260,28,12459,0.26
2007,bargarh,moong(green-gram),autumn,259,29,13333,0.31
2008,bargarh,moong(green-gram),autumn,260,30,13062,0.28
2009,bargarh,moong(green-gram),autumn,243,29,11591,0.26
2010,bargarh,moong(green-gram),autumn,242,28,13533,0.3
2011,bargarh,moong(green-gram),autumn,240,29,15118,0.24
2012,bargarh,moong(green-gram),autumn,241,29,11841,0.27
2013,bargarh,moong(green-gram),autumn,250,30,15615,0.33
2014,bargarh,moong(green-gram),autumn,252,31,14264,0.19
2015,bargarh,moong(green-gram),autumn,250,28,12742,0.26
2016,bargarh,moong(green-gram),autumn,254,29,22961,0.45
2017,bargarh,moong(green-gram),autumn,258,28,18805,0.32
2018,bargarh,moong(green-gram),autumn,259,27,6684,0.27
2019,bargarh,moong(green-gram),autumn,257,28,5802,0.33
2020,bargarh,moong(green-gram),autumn,257,28,3081,0.26
2021,bargarh,moong(green-gram),autumn,258,29,8859,0.29
2022,bargarh,moong(green-gram),autumn,250,30,4185,0.32
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,moong(green-gram),summer,18,30,694,0.35
2005,bargarh,moong(green-gram),summer,20,28,1581,0.36
2006,bargarh,moong(green-gram),summer,20,29,1392,0.35
2007,bargarh,moong(green-gram),summer,25,33,2280,0.37
2008,bargarh,moong(green-gram),summer,24,34,881,0.37
2009,bargarh,moong(green-gram),summer,26,35,2624,0.33
2010,bargarh,moong(green-gram),summer,21,32,1653,0.35
2011,bargarh,moong(green-gram),summer,21,32,920,0.36
2012,bargarh,moong(green-gram),summer,21,33,869,0.38
2013,bargarh,moong(green-gram),summer,20,32,824,0.38
2014,bargarh,moong(green-gram),summer,20,30,1432,0.38
2015,bargarh,moong(green-gram),summer,23,31,2399,0.3
2016,bargarh,moong(green-gram),summer,23,31.5,1648,0.4
2017,bargarh,moong(green-gram),summer,19,32,889,0.38
2018,bargarh,moong(green-gram),summer,20,32,511,0.35
2019,bargarh,moong(green-gram),summer,20.5,32,889,0.34
2020,bargarh,moong(green-gram),summer,20.4,35,788,0.38
2021,bargarh,moong(green-gram),summer,20.9,34,1270,0.29
2022,bargarh,moong(green-gram),summer,20.7,29,1564,0.35
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2005,bargarh,moong(green-gram),winter,15.5,22,73,0.23
2006,bargarh,moong(green-gram),winter,18,20,97,0.32
2007,bargarh,moong(green-gram),winter,10,20,53,0.32
2008,bargarh,moong(green-gram),winter,10,23,46,0.31
2009,bargarh,moong(green-gram),winter,10.2,21,56,0.25
2010,bargarh,moong(green-gram),winter,104,23,132,0.3
2011,bargarh,moong(green-gram),winter,9,23,18,0.31
2012,bargarh,moong(green-gram),winter,10,21,52,0.38
2013,bargarh,moong(green-gram),winter,11,21,84,0.28
2014,bargarh,moong(green-gram),winter,12,25,38,0.29
2015,bargarh,moong(green-gram),winter,12,23,6,0.27
2016,bargarh,moong(green-gram),winter,12.5,23,105,0.37
2017,bargarh,moong(green-gram),winter,14,20,226,0.33
2018,bargarh,moong(green-gram),winter,16,20.9,22,0.32
,,,,,,,
2020,bargarh,moong(green-gram),winter,12,21,35,0.48
2021,bargarh,moong(green-gram),winter,12,21,103,0.34
2022,bargarh,moong(green-gram),winter,10,22,129,0.42
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,rapeseed & mustard,winter,15,21,460,0.27
2005,bargarh,rapeseed & mustard,winter,15.5,22,833,0.3
2006,bargarh,rapeseed & mustard,winter,18,20,389,0.27
2007,bargarh,rapeseed & mustard,winter,10,20,444,0.29
2008,bargarh,rapeseed & mustard,winter,10,23,585,0.28
2009,bargarh,rapeseed & mustard,winter,10.2,21,512,0.29
2010,bargarh,rapeseed & mustard,winter,104,23,795,0.29
2011,bargarh,rapeseed & mustard,winter,9,23,648,0.3
2012,bargarh,rapeseed & mustard,winter,10,21,799,0.35
2013,bargarh,rapeseed & mustard,winter,11,21,524,0.32
2014,bargarh,rapeseed & mustard,winter,12,25,446,0.33
2015,bargarh,rapeseed & mustard,winter,12,23,374,0.29
2016,bargarh,rapeseed & mustard,winter,12.5,23,197,0.38
2017,bargarh,rapeseed & mustard,winter,14,20,210,0.36
2018,bargarh,rapeseed & mustard,winter,16,20.9,185,0.34
2019,bargarh,rapeseed & mustard,winter,15,20,612,0.31
2020,bargarh,rapeseed & mustard,winter,12,21,519,0.31
2021,bargarh,rapeseed & mustard,winter,12,21,1109,0.3
2022,bargarh,rapeseed & mustard,winter,10,22,1046,0.34
,,,,,,,
1999,bargarh,rice,autumn,245,31,57000,1.11
2000,bargarh,rice,autumn,256,28,63530,0.19
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,rice,autumn,270,30,64000,0.92
2005,bargarh,rice,autumn,259,28,62000,0.98
2006,bargarh,rice,autumn,260,28,63000,1.08
2007,bargarh,rice,autumn,259,29,62000,1.06
2008,bargarh,rice,autumn,260,30,58000,0.88
2009,bargarh,rice,autumn,243,29,58000,1.12
2010,bargarh,rice,autumn,242,28,59000,0.8
2011,bargarh,rice,autumn,240,29,53000,0.77
2012,bargarh,rice,autumn,241,29,52000,2.02
2013,bargarh,rice,autumn,250,30,61000,1.21
2014,bargarh,rice,autumn,252,31,57000,1.93
2015,bargarh,rice,autumn,250,28,62000,0.39
2016,bargarh,rice,autumn,254,29,51280,0.7
2017,bargarh,rice,autumn,258,28,57670,0.17
2018,bargarh,rice,autumn,259,27,47940,1.29
2019,bargarh,rice,autumn,257,28,45030,1.35
2020,bargarh,rice,autumn,257,28,49430,1.65
2021,bargarh,rice,autumn,258,29,37163,0.36
2022,bargarh,rice,autumn,250,30,29520,3.03
,,,,,,,
1999,bargarh,rice,summer,22,23,63890,3.21
2000,bargarh,rice,summer,21,27,53570,2.87
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,rice,summer,18,30,55000,2.89
2005,bargarh,rice,summer,20,28,59000,2.69
2006,bargarh,rice,summer,20,29,58000,2.98
2007,bargarh,rice,summer,25,33,64000,3.34
2008,bargarh,rice,summer,24,34,61000,3.39
2009,bargarh,rice,summer,26,35,68000,3.37
2010,bargarh,rice,summer,21,32,67000,4.15
2011,bargarh,rice,summer,21,32,71000,3.75
2012,bargarh,rice,summer,21,33,687000,0.39
2013,bargarh,rice,summer,20,32,84000,3.92
2014,bargarh,rice,summer,20,30,76000,3.99
2015,bargarh,rice,summer,23,31,73000,4.12
2016,bargarh,rice,summer,23,31.5,61220,4.41
2017,bargarh,rice,summer,19,32,64050,3.25
2018,bargarh,rice,summer,20,32,69780,3.58
2019,bargarh,rice,summer,20.5,32,69610,2.53
2020,bargarh,rice,summer,20.4,35,90100,4.55
2021,bargarh,rice,summer,20.9,34,91146,4.46
2022,bargarh,rice,summer,20.7,29,90730,4.02
,,,,,,,
1999,bargarh,rice,winter,10.5,23,182000,2.09
2000,bargarh,rice,winter,11,20,176720,1.08
,,,,,,,
,,,,,,,
,,,,,,,
2004,bargarh,rice,winter,15,21,178000,1.74
2005,bargarh,rice,winter,15.5,22,169000,1.95
2006,bargarh,rice,winter,18,20,179000,2.03
2007,bargarh,rice,winter,10,20,175000,2.02
2008,bargarh,rice,winter,10,23,186000,1.97
2009,bargarh,rice,winter,10.2,21,186000,2.08
2010,bargarh,rice,winter,104,23,177000,2.09
2011,bargarh,rice,winter,9,23,182000,1.88
2012,bargarh,rice,winter,10,21,181000,3.22
2013,bargarh,rice,winter,11,21,180000,1.88
2014,bargarh,rice,winter,12,25,174000,2.79
2015,bargarh,rice,winter,12,23,172000,1.55
2016,bargarh,rice,winter,12.5,23,166480,2.25
2017,bargarh,rice,winter,14,20,175640,0.54
2018,bargarh,rice,winter,16,20.9,187090,1.54
2019,bargarh,rice,winter,15,20,184570,1.87
2020,bargarh,rice,winter,12,21,185160,3
2021,bargarh,rice,winter,12,21,187387,2.12
2022,bargarh,rice,winter,10,22,205710,4.17
,,,,,,,
2004,bhadrak,groundnut,summer,30,23,83,0.68
2005,bhadrak,groundnut,summer,36,27,168,1.14
2006,bhadrak,groundnut,summer,51,29,30,0.57
2007,bhadrak,groundnut,summer,80,30,183,0.72
2008,bhadrak,groundnut,summer,51,23,230,0.8
2009,bhadrak,groundnut,summer,36,27,23,1.41
2010,bhadrak,groundnut,summer,60,29,60,0.78
2011,bhadrak,groundnut,summer,30,30,8,2.28
2012,bhadrak,groundnut,summer,35,27,4,1.48
2013,bhadrak,groundnut,summer,38,29,10,1.03
2014,bhadrak,groundnut,summer,39,30,69,1.09
2015,bhadrak,groundnut,summer,50,23,28,1.13
2016,bhadrak,groundnut,summer,35,27,745,1.13
2017,bhadrak,groundnut,summer,35,29,63,0.69
2018,bhadrak,groundnut,summer,60,30,19,0.71
,,,,,,,
2020,bhadrak,groundnut,summer,38,23,2,0.9
,,,,,,,
2022,bhadrak,groundnut,summer,37,25,217,1.26
,,,,,,,
2004,bhadrak,horse-gram,winter,25,24,1,0.3
2005,bhadrak,horse-gram,winter,23,21,3,0.27
2006,bhadrak,horse-gram,winter,25,20,4,0.2
2007,bhadrak,horse-gram,winter,26,23,7,0.23
2008,bhadrak,horse-gram,winter,24,24,4,0.5
2009,bhadrak,horse-gram,winter,30,20,16,0.25
,,,,,,,
2011,bhadrak,horse-gram,winter,28,18,46,0.14
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2018,bhadrak,horse-gram,winter,23,23,3,0.9
2019,bhadrak,horse-gram,winter,23,22,8,1.38
2020,bhadrak,horse-gram,winter,25,21,1,0.3
2021,bhadrak,horse-gram,winter,26,20,59,0.47
2022,bhadrak,horse-gram,winter,23,19,,
,,,,,,,
2004,bhadrak,groundnut,autumn,285,30,79,8
2005,bhadrak,groundnut,autumn,259,29,82,7.12
2006,bhadrak,groundnut,autumn,264,29,9,8.11
2007,bhadrak,groundnut,autumn,245,29,60,7.45
2008,bhadrak,groundnut,autumn,201,27,58,6.38
2009,bhadrak,groundnut,autumn,297,30,81,8.31
2010,bhadrak,groundnut,autumn,298,29,89,9.98
2011,bhadrak,groundnut,autumn,288,29,45,8.67
2012,bhadrak,groundnut,autumn,256,29,47,1.66
2013,bhadrak,groundnut,autumn,235,27,44,1.75
2014,bhadrak,groundnut,autumn,254,30,36,1.48
2015,bhadrak,groundnut,autumn,265,29,61,1.32
2016,bhadrak,groundnut,autumn,287,29,13,1.69
2017,bhadrak,groundnut,autumn,289,30,99,1.44
2018,bhadrak,groundnut,autumn,290,31,28,1.37
2019,bhadrak,groundnut,autumn,299,28,13,1.74
2020,bhadrak,groundnut,autumn,289,27,29,8.89
2021,bhadrak,groundnut,autumn,248,28,246,8.87
2022,bhadrak,groundnut,autumn,258,29,51,0.1
,,,,,,,
2004,bhadrak,maize,summer,30,23,3,0.9
,,,,,,,
,,,,,,,
2007,bhadrak,maize,summer,80,30,1,2.7
2008,bhadrak,maize,summer,51,23,2,2.8
2009,bhadrak,maize,summer,36,27,1,2.4
